Mode,Final Accuracy,Comm Cost (MB),Compression Ratio,Bytes Saved (MB),Comm Reduction (%),Total Time (s),Avg Recon Error
Full Update,0.08,250.36773681640625,1.0,0.0,0.0,5.3978,0.0
Top-K (10%),0.08,25.03814697265625,0.09999500000000001,225.32958984375,89.99945149042242,4.948899999999999,0.6792044500000001
Top-K + Error Feedback,0.085,25.03814697265625,0.09999500000000001,225.32958984375,89.99945149042242,5.0368,0.8160269999999998
