bw_avg,blacklisted_PRBs,total_PRBs,max_IO,max_IO_par,min_IO,min_IO_par,avg_IO,PRACH_IO,current_QM_DL,current_RI_DL,total_bytes_TX,ulsch_power,ulsch_noise_power,sync_pos,round_trials_0,round_trials_0_par,round_trials_1,round_trials_1_par,round_trials_2,round_trials_2_par,round_trials_3,DTX,current_QM_UL,current_RI_UL,total_bytes_RX,total_bytes_scheduled,PH,PCMAX,RSRP,meas,UL_RI,TPMI,dlsch_rounds_0,dlsch_rounds_1,dlsch_rounds_2,dlsch_rounds_3,dlsch_errors,pucch0_DTX,BLER_DL,MCS_DL,dlsch_total_bytes,ulsch_rounds_0,ulsch_rounds_1,ulsch_rounds_2,ulsch_rounds_3,ulsch_DTX,ulsch_errors,BLER_UL,MCS_UL,ulsch_total_bytes_scheduled,ulsch_total_bytes_received,rtt
0.6390965671338181,0,106,22,54,0,53,12,4.7,6,1,-1583528442,47.3,9.5,-1,180978,0.0092,1663,5e-05,9,2.8e-05,5,8,6,1,0,188977,0,0,-98,8,1,0,424515,32591,133,56,9,6,0.12722,23,2519469378,181185,1663,9,5,8,3,0.00774,28,18523180,18522523,28.03735135755646
0.5083237053386088,0,106,22,54,0,53,13,5.6,6,1,-1576233375,47.3,8.5,-1,181391,0.0092,1666,5e-05,9,2.8e-05,5,8,6,1,0,189295,0,0,-98,5,1,0,425526,32661,134,56,9,6,0.08016,21,2525125726,181613,1668,9,5,8,3,0.01103,28,18567186,18566592,23.290980392156865
0.7170132354490596,0,106,17,7,0,53,12,7.5,6,1,-1569810333,47.7,10.0,1,181831,0.0092,1672,4.9e-05,9,2.7e-05,5,8,6,1,0,189931,0,0,-98,1,1,0,426266,32691,134,56,9,6,0.05303,20,2529556728,182003,1672,9,5,8,3,0.00864,28,18607194,18606706,23.290980392156865
0.6387689357598165,0,106,18,54,0,53,12,6.5,6,1,-1566860344,47.4,10.0,-1,182195,0.0092,1673,4.9e-05,9,2.7e-05,5,8,6,1,0,190037,0,0,-98,14,1,0,427108,32760,135,56,9,6,0.07849,23,2534317780,182403,1674,9,5,8,3,0.00643,28,18647324,18646836,23.290980392156865
0.5517505413430134,0,106,19,54,0,53,12,5.4,6,1,-1559949574,47.2,10.4,-1,182604,0.0092,1675,4.9e-05,9,2.7e-05,5,8,6,1,0,190288,0,0,-98,10,1,0,428017,32883,135,56,9,6,0.10008,22,2539615454,182813,1676,9,5,8,3,0.00621,28,18686993,18686505,23.29098039215686
0.6915402211275558,0,106,20,54,0,53,12,5.8,6,1,-1554267523,47.3,13.0,-1,183020,0.0092,1677,4.9e-05,9,2.7e-05,5,8,6,1,0,190500,0,0,-98,7,1,0,428969,32923,135,56,9,6,0.06281,22,2545125107,183227,1678,9,5,8,3,0.00376,28,18728486,18727998,23.29098039215686
0.6794774032459433,0,106,18,54,0,53,12,6.1,6,1,-1547740871,47.2,12.0,-1,183441,0.0092,1680,4.9e-05,9,2.7e-05,5,8,6,1,0,190857,0,0,-98,3,1,0,430097,32987,135,56,9,6,0.05689,22,2552275056,183651,1684,9,5,8,3,0.01129,28,18772587,18771993,23.290980392156865
0.5496741311399392,0,106,21,54,0,53,12,5.8,6,1,-1540874945,47.4,11.8,1,183861,0.0092,1684,4.9e-05,9,2.7e-05,5,8,6,1,0,191281,0,0,-98,16,1,0,431050,33158,135,56,9,6,0.16003,22,2558064569,184065,1685,9,5,8,3,0.00688,28,18812896,18812302,23.290980392156857
0.5341333072453329,0,106,20,54,0,53,12,4.1,6,1,-1533181299,47.4,11.5,-1,184283,0.0091,1686,4.9e-05,9,2.7e-05,5,8,6,1,0,191493,0,0,-98,12,1,0,432207,33192,135,56,9,6,0.07491,22,2565426489,184497,1691,9,5,8,3,0.01441,28,18860197,18859603,19.758352515774867
0.5372029224133624,0,106,22,54,0,53,12,6.4,6,1,-1525600734,47.3,14.8,0,184716,0.0092,1692,4.9e-05,9,2.7e-05,5,8,6,1,0,192168,0,0,-98,9,1,0,433371,33241,135,56,9,6,0.04778,23,2572887277,184932,1695,9,5,8,3,0.01241,28,18905593,18905105,17.303609723533064
0.572128004271337,0,106,18,101,0,53,12,5.3,6,1,-1517567143,47.3,10.4,1,185137,0.0092,1697,4.9e-05,9,2.7e-05,5,8,6,1,0,192698,0,0,-98,5,1,0,434415,33408,135,56,9,6,0.11518,22,2579735441,185353,1698,9,5,8,3,0.00895,28,18948063,18947469,23.29098039215686
0.64628557164669,0,106,22,54,0,53,13,6.2,6,1,-1502107101,47.3,9.0,-2,185988,0.0092,1712,4.8e-05,9,2.7e-05,5,8,6,1,0,194701,0,0,-98,14,1,0,436747,33501,135,56,9,6,0.05928,22,2594657069,186201,1715,9,5,8,3,0.01823,28,19042600,19042112,23.290980392156865
0.5907992532277954,0,106,18,54,0,53,12,5.7,6,1,-1494407892,47.5,10.0,-1,186415,0.0092,1718,4.8e-05,9,2.7e-05,5,8,6,1,0,195376,0,0,-98,11,1,0,437894,33567,135,56,9,6,0.05711,22,2601933718,186631,1718,9,5,8,3,0.01059,28,19087340,19086746,23.29098039215686
0.6016344899956343,0,106,17,52,0,53,12,6.5,6,1,-1486750750,47.1,9.5,-2,186850,0.0092,1719,4.8e-05,9,2.7e-05,5,8,6,1,0,195482,0,0,-98,7,1,0,439047,33626,135,56,9,6,0.05289,22,2609298035,187065,1721,9,5,8,3,0.00925,28,19132703,19132215,23.290980392156865
0.7154133305172748,0,106,22,54,0,53,12,6.1,6,1,-1479227360,47.3,10.0,1,187276,0.0092,1724,4.8e-05,9,2.7e-05,5,8,6,1,0,196012,0,0,-98,4,1,0,440037,33784,135,56,9,6,0.1524,21,2615601584,187483,1724,9,5,8,3,0.00698,28,19174498,19174010,23.290980392156865
0.5582414705305735,0,106,17,52,0,53,12,5.0,6,1,-1474675463,47.5,10.0,-1,187654,0.0092,1725,4.8e-05,9,2.7e-05,5,8,6,1,0,196118,0,0,-98,16,1,0,440412,33784,135,56,9,6,0.05314,15,2617313648,187832,1726,9,5,8,3,0.00607,28,19207705,19207087,21.008810041697412
0.74177344171341,0,106,21,54,0,53,13,7.0,6,1,-1471118208,47.3,9.5,1,188048,0.0092,1731,4.8e-05,9,2.7e-05,5,8,6,1,0,196754,0,0,-98,13,1,0,441548,33859,135,56,9,6,0.08864,23,2623350872,188263,1732,9,5,8,3,0.01,28,19256620,19256108,23.29098039215686
0.6132839930473541,0,106,22,54,0,53,13,5.9,6,1,-1463188140,47.3,10.8,-1,188479,0.0092,1733,4.8e-05,9,2.7e-05,5,8,6,1,0,196966,0,0,-98,9,1,0,442598,33959,135,56,9,6,0.08571,21,2629666572,188692,1736,9,5,8,3,0.01144,28,19302859,19302265,23.290980392156865
